Branch_ID,Branch_Name,City,Region,Branch_Type,Customers,Deposits,Loans,Interest_Income,Fee_Income,Employee_Cost,Rent_Expense,Other_Operating_Expense,Loan_Defaults,Month,Year
BR006,Mysore Central Branch,Mysore,South,Urban,20573,13238.9,8819.7,62.32,36.96,25.47,9.27,8.52,5,November,2025
BR007,Chennai Central Branch,Chennai,South,Metro,30791,33416.8,27130.46,231.3,91.37,29.09,19.11,11.73,16,November,2025
BR008,Coimbatore Main Branch,Coimbatore,South,Urban,18662,12341.25,8187.89,58.92,34.12,15.79,6.37,7.62,1,November,2025
BR009,Hyderabad Central Branch,Hyderabad,South,Metro,25083,18826.31,11717.32,92.77,46.83,27.89,19.06,7.12,11,November,2025
BR010,Pune Camp Branch,Pune,West,Metro,35428,31338.02,23793.14,170.7,71.38,52.16,29.38,13.9,18,November,2025
BR011,Mumbai Andheri Branch,Mumbai,West,Metro,28281,23475.21,17380.64,137.06,78.45,31.77,20.1,11.17,13,November,2025
BR012,Nagpur Main Branch,Nagpur,West,Urban,19086,14880.39,10621.68,82.89,25.71,19.93,8.93,7.56,3,November,2025
BR013,Ahmedabad Central Branch,Ahmedabad,West,Metro,18954,14332.87,9491.54,73.83,37.65,34.61,22.83,18.77,10,November,2025
BR014,Jaipur Main Branch,Jaipur,North,Urban,12341,8768.71,5572.82,43.52,20.78,23.0,5.98,9.63,3,November,2025
BR015,Delhi Connaught Branch,Delhi,North,Metro,30563,25210.83,19581.74,152.71,72.09,30.92,20.12,13.32,20,November,2025
BR016,Lucknow Central Branch,Lucknow,North,Urban,12234,6610.25,3798.35,25.79,14.74,26.27,10.65,7.67,2,November,2025
BR017,Kolkata Central Branch,Kolkata,East,Metro,28610,19714.67,12683.6,90.47,43.24,34.74,12.09,11.67,8,November,2025
BR018,Bhubaneswar Main Branch,Bhubaneswar,East,Urban,12003,9676.31,7264.92,53.31,18.89,19.8,9.92,7.89,3,November,2025
BR019,Patna Main Branch,Patna,East,Semi-Urban,9199,5896.56,3571.82,23.2,10.86,9.82,4.99,6.78,0,November,2025
BR020,Ranchi Main Branch,Ranchi,East,Semi-Urban,11512,7394.11,4320.65,31.22,15.74,11.28,2.43,4.85,4,November,2025
BR001,MG Road Branch,Bengaluru,South,Metro,36279,34972.15,25017.95,189.82,74.36,40.21,24.36,12.28,9,December,2025
BR002,Indiranagar Branch,Bengaluru,South,Metro,31501,24177.37,18262.86,144.09,56.37,50.96,18.02,20.9,8,December,2025
BR003,Koramangala Branch,Bengaluru,South,Metro,25342,22195.2,14983.36,109.91,51.39,41.0,22.91,18.96,8,December,2025
BR004,Whitefield Branch,Bengaluru,South,Urban,13270,10759.56,7294.32,58.21,22.73,20.02,9.33,8.98,1,December,2025
BR005,Hubli Main Branch,Hubli,South,Urban,16388,10080.65,5990.03,40.24,21.86,27.83,11.64,5.47,2,December,2025
BR006,Mysore Central Branch,Mysore,South,Urban,20787,12977.97,8654.22,63.19,37.36,25.64,9.27,8.46,3,December,2025
BR007,Chennai Central Branch,Chennai,South,Metro,30149,33170.4,26522.83,221.15,89.25,28.91,19.11,10.69,8,December,2025
BR008,Coimbatore Main Branch,Coimbatore,South,Urban,18457,12060.32,7923.03,58.15,34.61,15.67,6.37,7.59,10,December,2025
BR009,Hyderabad Central Branch,Hyderabad,South,Metro,25632,19819.64,12164.57,97.31,45.95,27.71,19.06,7.65,9,December,2025
BR010,Pune Camp Branch,Pune,West,Metro,36009,31989.03,24425.02,169.48,72.97,52.84,29.38,13.87,20,December,2025
BR011,Mumbai Andheri Branch,Mumbai,West,Metro,28351,23137.48,17409.57,134.93,75.81,31.3,20.1,11.01,7,December,2025
BR012,Nagpur Main Branch,Nagpur,West,Urban,19263,15323.18,11065.37,84.94,27.28,20.15,8.93,7.3,10,December,2025
BR013,Ahmedabad Central Branch,Ahmedabad,West,Metro,19648,15267.27,10164.58,78.73,40.28,34.38,22.83,18.39,3,December,2025
BR014,Jaipur Main Branch,Jaipur,North,Urban,12228,8541.13,5250.75,42.07,20.82,22.87,5.98,9.62,0,December,2025
BR015,Delhi Connaught Branch,Delhi,North,Metro,30046,25378.37,19250.74,147.72,70.89,30.65,20.12,13.34,9,December,2025
BR016,Lucknow Central Branch,Lucknow,North,Urban,12299,6664.55,3722.58,25.51,15.03,26.7,10.65,7.17,3,December,2025
BR017,Kolkata Central Branch,Kolkata,East,Metro,29130,19839.72,12797.6,91.6,42.91,34.8,12.09,11.85,3,December,2025
BR018,Bhubaneswar Main Branch,Bhubaneswar,East,Urban,12122,9781.59,7173.45,52.04,19.27,19.44,9.92,8.17,4,December,2025
BR019,Patna Main Branch,Patna,East,Semi-Urban,8995,5867.17,3595.09,23.8,10.75,9.97,4.99,6.52,2,December,2025
BR020,Ranchi Main Branch,Ranchi,East,Semi-Urban,11607,7634.63,4468.71,31.51,15.92,11.53,2.43,5.27,0,December,2025
